PMID,ENTREZ,GO,BTO,score
21792929,6696,GO:0005886,BTO:0000093,0.419413376705
14704150,6696,GO:0005886,BTO:0000093,0.419413376705
24316097,3725,GO:0005739,BTO:0001061,0.419409543656
17707342,3725,GO:0005739,BTO:0001061,0.419409543656
20430459,3303,GO:0031982,BTO:0001061,0.419408977715
18445700,644914,GO:0005829,BTO:0002035,0.419356479464
15979566,10052,GO:0005737,BTO:0000567,0.419333636435
14681036,10052,GO:0005737,BTO:0000567,0.419333636435
25692552,3925,GO:0005886,BTO:0000017,0.419333380131
23800058,4170,GO:0005739,BTO:0000017,0.419327010841
24048439,578,GO:0005829,BTO:0001061,0.419247057487
26252009,4316,GO:0005739,BTO:0000599,0.419180794498
23387408,53917,GO:0005856,BTO:0000567,0.419152790826
20049856,5268,GO:0005856,BTO:0000567,0.419152790826
12815172,1559,GO:0005856,BTO:0000567,0.419152790826
19417137,2130,GO:0005856,BTO:0000567,0.419152790826
27217331,2539,GO:0005856,BTO:0000567,0.419152790826
16190982,1362,GO:0031982,BTO:0000567,0.41910461671
22161549,2180,GO:0031982,BTO:0000567,0.41910461671
9092716,6565,GO:0031982,BTO:0000567,0.41910461671
16241262,1909,GO:0031982,BTO:0000567,0.41910461671
15317665,7036,GO:0031982,BTO:0000567,0.41910461671
19515779,8945,GO:0031982,BTO:0000567,0.41910461671
22752253,54600,GO:0031982,BTO:0000567,0.41910461671
10050678,1811,GO:0031982,BTO:0000567,0.41910461671
16952353,1543,GO:0005737,BTO:0000552,0.419101435784
24884462,2305,GO:0005783,BTO:0000599,0.419032039125
17595318,5294,GO:0005886,BTO:0000793,0.41901303492
23825023,8723,GO:0005886,BTO:0000567,0.419000922858
19901022,23593,GO:0005886,BTO:0000567,0.419000922858
18635542,129607,GO:0005886,BTO:0000567,0.419000922858
20188695,440926,GO:0005886,BTO:0000567,0.419000922858
11179364,1048,GO:0005886,BTO:0000567,0.419000922858
18816083,5478,GO:0005886,BTO:0000567,0.419000922858
23077067,10243,GO:0005886,BTO:0000567,0.419000922858
17678623,6811,GO:0005886,BTO:0000567,0.419000922858
12065480,64714,GO:0005886,BTO:0000567,0.419000922858
1433505,56655,GO:0005886,BTO:0000567,0.419000922858
17534424,950,GO:0005886,BTO:0000567,0.419000922858
26676780,4738,GO:0005886,BTO:0000567,0.419000922858
16723738,163,GO:0005886,BTO:0000567,0.419000922858
23344946,887,GO:0005886,BTO:0000567,0.419000922858
21743962,3037,GO:0005886,BTO:0000567,0.419000922858
25301562,308,GO:0031982,BTO:0001061,0.418971228944
23354452,308,GO:0031982,BTO:0001061,0.418971228944
25815500,717,GO:0005739,BTO:0000018,0.418961079214
15506970,4512,GO:0005739,BTO:0000018,0.418961079214
26704294,6579,GO:0005739,BTO:0000018,0.418961079214
23301014,123,GO:0031982,BTO:0000195,0.4189525701
26298722,664,GO:0005737,BTO:0000093,0.418912344983
23742826,25802,GO:0005737,BTO:0000093,0.418912344983
26513682,1545,GO:0005737,BTO:0000093,0.418912344983
23216755,4477,GO:0005737,BTO:0000007,0.418862706408
15905168,2720,GO:0005737,BTO:0000599,0.41867509323
27729209,8837,GO:0005829,BTO:0000018,0.418650879108
26246576,4758,GO:0005829,BTO:0000018,0.418650879108
20967225,1595,GO:0005634,BTO:0000195,0.418587596854
26900323,1969,GO:0005634,BTO:0000195,0.418587596854
12855700,47,GO:0005634,BTO:0000195,0.418587596854
26854884,4282,GO:0005634,BTO:0000195,0.418587596854
23238480,2944,GO:0005634,BTO:0000195,0.418587596854
21148397,1423,GO:0005634,BTO:0000195,0.418587596854
15659711,55811,GO:0005634,BTO:0000195,0.418587596854
10644518,1874,GO:0005634,BTO:0000195,0.418587596854
18357390,7408,GO:0005856,BTO:0000093,0.418441499441
15050901,10242,GO:0005856,BTO:0000093,0.418441499441
18586278,51115,GO:0005856,BTO:0000093,0.418441499441
10655559,84798,GO:0031982,BTO:0000093,0.418393407075
15518240,3481,GO:0031982,BTO:0000093,0.418393407075
23029028,1950,GO:0031982,BTO:0000018,0.41832676168
15331599,1950,GO:0031982,BTO:0000018,0.41832676168
20802406,1950,GO:0031982,BTO:0000018,0.41832676168
11985495,7132,GO:0005794,BTO:0000093,0.4182621764
27909246,6513,GO:0031982,BTO:0000567,0.418199853838
19302270,6513,GO:0031982,BTO:0000567,0.418199853838
20171196,1555,GO:0005829,BTO:0000599,0.418175786713
20944112,1027,GO:0005739,BTO:0000093,0.418154346517
26859847,1027,GO:0005739,BTO:0000093,0.418154346517
26960190,8743,GO:0005739,BTO:0000552,0.418113005394
25584429,637,GO:0005739,BTO:0000552,0.418113005394
23501103,7416,GO:0005783,BTO:0000007,0.41791687026
18266662,255738,GO:0005783,BTO:0000007,0.41791687026
26276130,6347,GO:0005634,BTO:0002210,0.417902650096
14654001,4085,GO:0005737,BTO:0000567,0.417700388431
9628895,4085,GO:0005737,BTO:0000567,0.417700388431
19633292,406991,GO:0005829,BTO:0000093,0.417606952085
17690101,857,GO:0005856,BTO:0000093,0.417604685815
18598695,857,GO:0005856,BTO:0000093,0.417604685815
17190831,857,GO:0005856,BTO:0000093,0.417604685815
16449978,7052,GO:0005925,BTO:0000093,0.417577560566
14592536,5914,GO:0005737,BTO:0000093,0.417532582647
15171703,5914,GO:0005737,BTO:0000093,0.417532582647
11559697,7132,GO:0005634,BTO:0000007,0.417504606782
25888769,7132,GO:0005634,BTO:0000007,0.417504606782
26787452,7132,GO:0005634,BTO:0000007,0.417504606782
1447294,3726,GO:0005829,BTO:0000017,0.41741570228
25427498,2335,GO:0005886,BTO:0000944,0.417395567618
11416136,2335,GO:0005886,BTO:0000944,0.417395567618
17849139,308,GO:0005783,BTO:0000567,0.417371882994
21029606,308,GO:0005783,BTO:0000567,0.417371882994
20823585,308,GO:0005783,BTO:0000567,0.417371882994
21302808,5595,GO:0005783,BTO:0002136,0.417325270289
27409583,2516,GO:0005886,BTO:0000567,0.417311347953
16157413,2516,GO:0005886,BTO:0000567,0.417311347953
17595318,6714,GO:0005886,BTO:0000793,0.417288642915
22709448,6714,GO:0005886,BTO:0000793,0.417288642915
16251431,6714,GO:0005886,BTO:0000793,0.417288642915
24244430,491,GO:0005829,BTO:0000007,0.417231696723
23142474,4513,GO:0005739,BTO:0000552,0.41718231221
17534424,5867,GO:0031982,BTO:0000793,0.417168088431
22005517,6714,GO:0005737,BTO:0000007,0.41713893306
25707853,6714,GO:0005737,BTO:0000007,0.41713893306
18682536,6714,GO:0005737,BTO:0000007,0.41713893306
17493746,2934,GO:0005856,BTO:0001061,0.416978819831
23274515,5170,GO:0005739,BTO:0000093,0.416925466046
22344475,4953,GO:0005739,BTO:0000093,0.416925466046
21732363,10018,GO:0005739,BTO:0000093,0.416925466046
26722026,837,GO:0005739,BTO:0000195,0.416925466046
12615366,5465,GO:0005634,BTO:0000552,0.416893110701
16778793,5465,GO:0005634,BTO:0000552,0.416893110701
24078775,5465,GO:0005634,BTO:0000552,0.416893110701
17828768,351,GO:0005925,BTO:0000793,0.416885357717
23462796,3667,GO:0005886,BTO:0000007,0.41681444774
14516276,3667,GO:0005886,BTO:0000007,0.41681444774
16156665,5319,GO:0005886,BTO:0000007,0.41681444774
16931517,5319,GO:0005886,BTO:0000007,0.41681444774
11925430,5315,GO:0005634,BTO:0001938,0.416804192988
23164673,329,GO:0005634,BTO:0001938,0.416804192988
24642720,5465,GO:0031982,BTO:0002210,0.416625142509
23141413,1387,GO:0005634,BTO:0000793,0.416604147954
20573984,1387,GO:0005634,BTO:0000793,0.416604147954
20920566,48,GO:0031982,BTO:0000599,0.416558897649
26087402,1660,GO:0031982,BTO:0000599,0.416558897649
26869449,3178,GO:0031982,BTO:0000599,0.416558897649
24073830,4478,GO:0031982,BTO:0000599,0.416558897649
21670525,8431,GO:0031982,BTO:0000599,0.416558897649
26252009,4609,GO:0005739,BTO:0001061,0.416558437695
21531700,4609,GO:0005739,BTO:0001061,0.416558437695
15632189,5581,GO:0005886,BTO:0000017,0.416426328292
21886810,998,GO:0005634,BTO:0000944,0.416418515531
11306516,998,GO:0005634,BTO:0000944,0.416418515531
11751690,6473,GO:0005634,BTO:0000944,0.416400722692
18777095,860,GO:0005634,BTO:0000944,0.416400722692
1717344,1435,GO:0005634,BTO:0000944,0.416400722692
16430866,5294,GO:0005634,BTO:0000944,0.416400722692
11745435,4088,GO:0005634,BTO:0002210,0.416225997743
9164845,2950,GO:0005634,BTO:0000093,0.416210721826
25218501,2950,GO:0005634,BTO:0000093,0.416210721826
21834791,2950,GO:0005634,BTO:0000093,0.416210721826
9861846,2908,GO:0005737,BTO:0002035,0.416127226169
23125135,5460,GO:0005794,BTO:0000567,0.416118091726
26151573,6347,GO:0005925,BTO:0000599,0.416026451133
3029287,4502,GO:0005634,BTO:0000567,0.41601290155
2711372,4502,GO:0005634,BTO:0000567,0.41601290155
27035430,581,GO:0005634,BTO:0000007,0.415895899356
22519734,581,GO:0005634,BTO:0000007,0.415895899356
25770932,581,GO:0005634,BTO:0000007,0.415895899356
11546793,581,GO:0005634,BTO:0000007,0.415895899356
12606781,581,GO:0005634,BTO:0000007,0.415895899356
17503459,581,GO:0005634,BTO:0000007,0.415895899356
12837286,581,GO:0005634,BTO:0000007,0.415895899356
25312244,581,GO:0005634,BTO:0000007,0.415895899356
25627690,581,GO:0005634,BTO:0000007,0.415895899356
25849284,581,GO:0005634,BTO:0000007,0.415895899356
21281808,6714,GO:0005829,BTO:0000093,0.415888346626
9582012,6714,GO:0005829,BTO:0000093,0.415888346626
1380891,6714,GO:0005829,BTO:0000093,0.415888346626
27816613,1649,GO:0005739,BTO:0000793,0.415884672903
20836858,1649,GO:0005739,BTO:0000793,0.415884672903
25165814,23410,GO:0005739,BTO:0000007,0.415878152409
17462623,1571,GO:0005634,BTO:0000018,0.415871592672
24508477,1571,GO:0005634,BTO:0000018,0.415871592672
15988030,6198,GO:0005634,BTO:0002035,0.415867990579
15867268,22926,GO:0005634,BTO:0000599,0.415802163316
27432655,22926,GO:0005634,BTO:0000599,0.415802163316
20926737,22926,GO:0005634,BTO:0000599,0.415802163316
27010397,6778,GO:0005634,BTO:0000552,0.415782539714
21496009,284403,GO:0005634,BTO:0000552,0.415782539714
11886523,190,GO:0005634,BTO:0000552,0.415782539714
22686307,10671,GO:0005634,BTO:0000552,0.415782539714
7691069,5916,GO:0005634,BTO:0000017,0.415768562695
23950896,4929,GO:0005634,BTO:0000017,0.415768562695
16697076,11034,GO:0005634,BTO:0000017,0.415768562695
1426051,824,GO:0005634,BTO:0000017,0.415768562695
18034344,3845,GO:0005737,BTO:0000195,0.415486559277
16271832,7184,GO:0005829,BTO:0000018,0.415473182929
21573492,3984,GO:0005886,BTO:0001061,0.415434824653
27667556,1302,GO:0005829,BTO:0000018,0.415369724758
10366425,1302,GO:0005829,BTO:0000018,0.415369724758
24794973,9451,GO:0005739,BTO:0000552,0.415342462728
9254885,3727,GO:0005634,BTO:0000093,0.415306938475
24292672,3727,GO:0005634,BTO:0000093,0.415306938475
22261616,182,GO:0005634,BTO:0000093,0.415306938475
24604522,182,GO:0005634,BTO:0000093,0.415306938475
12234973,2035,GO:0005856,BTO:0000018,0.415260749532
9224210,2244,GO:0031982,BTO:0000018,0.415213022737
17989609,3553,GO:0005783,BTO:0000599,0.415194856921
18167199,3553,GO:0005783,BTO:0000599,0.415194856921
14620151,4615,GO:0005794,BTO:0000007,0.41518685559
18500361,890,GO:0005634,BTO:0002136,0.415136659633
20065094,6517,GO:0031982,BTO:0000007,0.415119515969
21357693,5045,GO:0031982,BTO:0000007,0.415119515969
11809862,1137,GO:0031982,BTO:0000007,0.415119515969
20720181,3783,GO:0031982,BTO:0000007,0.415119515969
21541969,2796,GO:0031982,BTO:0000007,0.415119515969
12760867,355,GO:0005634,BTO:0000599,0.41507172865
15475000,355,GO:0005634,BTO:0000599,0.41507172865
19428936,2081,GO:0005783,BTO:0000195,0.415058762437
26637635,183,GO:0005739,BTO:0000018,0.415036233865
25341036,7416,GO:0005739,BTO:0000018,0.415036233865
21867506,1017,GO:0005925,BTO:0001061,0.414971566773
25068992,1649,GO:0005783,BTO:0001938,0.414947892117
15591790,356,GO:0005886,BTO:0000093,0.414942341123
17878356,356,GO:0005886,BTO:0000093,0.414942341123
14732256,356,GO:0005886,BTO:0000093,0.414942341123
11418689,7124,GO:0005856,BTO:0000944,0.414883030355
9778052,7124,GO:0005856,BTO:0000944,0.414883030355
27175819,4318,GO:0005925,BTO:0000093,0.414858517113
22573479,4318,GO:0005925,BTO:0000093,0.414858517113
15946664,3630,GO:0005856,BTO:0000944,0.414745690818
25501281,1374,GO:0005739,BTO:0001061,0.414718480601
15191880,3082,GO:0005856,BTO:0000195,0.414706754974
