protein,tissue,scl,score
4085,BTO:0000567,GO:0005856,5.74378343683
54205,BTO:0000793,GO:0005739,5.74262206999
2099,BTO:0000093,GO:0031982,5.73934557896
949,BTO:0000195,GO:0005886,5.73921839638
6790,BTO:0000567,GO:0005856,5.70020231515
1440,BTO:0002136,GO:0031982,5.68422994354
596,BTO:0000093,GO:0005634,5.68362824862
142,BTO:0000567,GO:0005739,5.669633021
7157,BTO:0002210,GO:0005634,5.66205872801
3292,BTO:0000093,GO:0005829,5.6111505388
6514,BTO:0000195,GO:0005886,5.60513836639
5335,BTO:0000017,GO:0005829,5.5786333078
8714,BTO:0000007,GO:0031982,5.51300855508
9075,BTO:0000195,GO:0030054,5.50954250134
5888,BTO:0000567,GO:0005634,5.49677386306
2100,BTO:0000093,GO:0005634,5.49534071637
2852,BTO:0000007,GO:0005886,5.49141532465
6667,BTO:0000567,GO:0005634,5.48493448878
3172,BTO:0000599,GO:0005634,5.46705457938
7514,BTO:0000567,GO:0005634,5.46351007572
4780,BTO:0000552,GO:0005634,5.46085404588
4363,BTO:0000567,GO:0031982,5.41378802509
5371,BTO:0001938,GO:0005634,5.3977155944
57332,BTO:0001061,GO:0005829,5.39422405224
1026,BTO:0000093,GO:0005634,5.32755997621
7157,BTO:0000793,GO:0005634,5.29580126595
5728,BTO:0000093,GO:0005634,5.28287540041
3309,BTO:0000007,GO:0005783,5.24985525992
6817,BTO:0000093,GO:0005829,5.23979725233
1803,BTO:0000195,GO:0005886,5.19906841585
5962,BTO:0000195,GO:0005886,5.14915182103
8647,BTO:0000007,GO:0031982,5.14820583012
3162,BTO:0000793,GO:0005634,5.14642410097
3576,BTO:0000195,GO:0005634,5.140851855
6476,BTO:0000195,GO:0031982,5.12112803862
999,BTO:0000093,GO:0030054,5.11975743461
8714,BTO:0000195,GO:0005886,5.11392414053
2705,BTO:0000567,GO:0030054,5.09884489747
999,BTO:0000195,GO:0030054,5.08106256771
351,BTO:0000793,GO:0005886,5.07420285856
6606,BTO:0000567,GO:0005634,5.06046864794
5914,BTO:0000093,GO:0005634,5.05986230867
6046,BTO:0001061,GO:0005829,5.03298239533
1825,BTO:0000017,GO:0030054,5.02185730104
5467,BTO:0000552,GO:0031982,5.01570106157
2707,BTO:0000567,GO:0030054,4.97910329285
4363,BTO:0000195,GO:0005886,4.95585612183
3308,BTO:0000599,GO:0031982,4.95379503241
3183,BTO:0000567,GO:0005634,4.93567508572
596,BTO:0001061,GO:0005739,4.92779996108
1026,BTO:0000093,GO:0005856,4.91971227063
284424,BTO:0000599,GO:0005634,4.89767312835
26871,BTO:0000567,GO:0005634,4.89660860071
8411,BTO:0000567,GO:0031982,4.87976505601
2908,BTO:0000567,GO:0005634,4.87495395099
54205,BTO:0000018,GO:0005829,4.86849535352
2064,BTO:0000093,GO:0005634,4.84424076661
7157,BTO:0000093,GO:0005739,4.82777452958
7124,BTO:0000567,GO:0005634,4.81965446904
196,BTO:0000599,GO:0005634,4.80398402556
5111,BTO:0000567,GO:0005634,4.80355893256
644914,BTO:0000093,GO:0005634,4.79595600764
2010,BTO:0000567,GO:0005634,4.79057433713
3383,BTO:0000018,GO:0005634,4.7752667002
3309,BTO:0000093,GO:0005783,4.76719343564
23299,BTO:0000567,GO:0005794,4.75564664646
5347,BTO:0000567,GO:0005856,4.75203994345
9429,BTO:0000195,GO:0005886,4.74877505162
6532,BTO:0000007,GO:0005886,4.74683370549
