PMID,ENTREZ,GO,BTO,score
16651437,8600,GO:0005634,BTO:0000140,94.9855766524
16686314,8600,GO:0005634,BTO:0000140,94.9855766524
16805686,8600,GO:0005634,BTO:0000140,94.9855766524
16822840,8600,GO:0005634,BTO:0000140,94.9855766524
17164716,8600,GO:0005634,BTO:0000140,94.9855766524
17180147,8600,GO:0005634,BTO:0000140,94.9855766524
17466615,8600,GO:0005634,BTO:0000140,94.9855766524
17468191,8600,GO:0005634,BTO:0000140,94.9855766524
17520299,8600,GO:0005634,BTO:0000140,94.9855766524
17547714,8600,GO:0005634,BTO:0000140,94.9855766524
17559623,8600,GO:0005634,BTO:0000140,94.9855766524
17559630,8600,GO:0005634,BTO:0000140,94.9855766524
17560137,8600,GO:0005634,BTO:0000140,94.9855766524
17667143,8600,GO:0005634,BTO:0000140,94.9855766524
17667143,8600,GO:0005634,BTO:0000140,94.9855766524
17703270,8600,GO:0005634,BTO:0000140,94.9855766524
17920324,8600,GO:0005634,BTO:0000140,94.9855766524
17920324,8600,GO:0005634,BTO:0000140,94.9855766524
17955494,8600,GO:0005634,BTO:0000140,94.9855766524
17982618,8600,GO:0005634,BTO:0000140,94.9855766524
18283716,8600,GO:0005634,BTO:0000140,94.9855766524
18319315,8600,GO:0005634,BTO:0000140,94.9855766524
18319315,8600,GO:0005634,BTO:0000140,94.9855766524
18465072,8600,GO:0005634,BTO:0000140,94.9855766524
18502714,8600,GO:0005634,BTO:0000140,94.9855766524
18539106,8600,GO:0005634,BTO:0000140,94.9855766524
18657050,8600,GO:0005634,BTO:0000140,94.9855766524
18768464,8600,GO:0005634,BTO:0000140,94.9855766524
18790761,8600,GO:0005634,BTO:0000140,94.9855766524
18834246,8600,GO:0005634,BTO:0000140,94.9855766524
19058084,8600,GO:0005634,BTO:0000140,94.9855766524
19066718,8600,GO:0005634,BTO:0000140,94.9855766524
19098682,8600,GO:0005634,BTO:0000140,94.9855766524
19121641,8600,GO:0005634,BTO:0000140,94.9855766524
19201081,8600,GO:0005634,BTO:0000140,94.9855766524
19286760,8600,GO:0005634,BTO:0000140,94.9855766524
19387415,8600,GO:0005634,BTO:0000140,94.9855766524
19449178,8600,GO:0005634,BTO:0000140,94.9855766524
19449178,8600,GO:0005634,BTO:0000140,94.9855766524
19671655,8600,GO:0005634,BTO:0000140,94.9855766524
19878635,8600,GO:0005634,BTO:0000140,94.9855766524
20156950,8600,GO:0005634,BTO:0000140,94.9855766524
20236778,8600,GO:0005634,BTO:0000140,94.9855766524
20350696,8600,GO:0005634,BTO:0000140,94.9855766524
20506157,8600,GO:0005634,BTO:0000140,94.9855766524
20565769,8600,GO:0005634,BTO:0000140,94.9855766524
20623670,8600,GO:0005634,BTO:0000140,94.9855766524
20663885,8600,GO:0005634,BTO:0000140,94.9855766524
20683903,8600,GO:0005634,BTO:0000140,94.9855766524
20949013,8600,GO:0005634,BTO:0000140,94.9855766524
20949013,8600,GO:0005634,BTO:0000140,94.9855766524
20960270,8600,GO:0005634,BTO:0000140,94.9855766524
20963564,8600,GO:0005634,BTO:0000140,94.9855766524
20963568,8600,GO:0005634,BTO:0000140,94.9855766524
21039424,8600,GO:0005634,BTO:0000140,94.9855766524
21043545,8600,GO:0005634,BTO:0000140,94.9855766524
21050058,8600,GO:0005634,BTO:0000140,94.9855766524
21050071,8600,GO:0005634,BTO:0000140,94.9855766524
21070383,8600,GO:0005634,BTO:0000140,94.9855766524
21073986,8600,GO:0005634,BTO:0000140,94.9855766524
21081190,8600,GO:0005634,BTO:0000140,94.9855766524
21116815,8600,GO:0005634,BTO:0000140,94.9855766524
21159831,8600,GO:0005634,BTO:0000140,94.9855766524
21170936,8600,GO:0005634,BTO:0000140,94.9855766524
21187593,8600,GO:0005634,BTO:0000140,94.9855766524
21196156,8600,GO:0005634,BTO:0000140,94.9855766524
21254698,8600,GO:0005634,BTO:0000140,94.9855766524
21259010,8600,GO:0005634,BTO:0000140,94.9855766524
21284733,8600,GO:0005634,BTO:0000140,94.9855766524
21285392,8600,GO:0005634,BTO:0000140,94.9855766524
21291955,8600,GO:0005634,BTO:0000140,94.9855766524
21327451,8600,GO:0005634,BTO:0000140,94.9855766524
21383509,8600,GO:0005634,BTO:0000140,94.9855766524
21411255,8600,GO:0005634,BTO:0000140,94.9855766524
21470874,8600,GO:0005634,BTO:0000140,94.9855766524
21482033,8600,GO:0005634,BTO:0000140,94.9855766524
21491082,8600,GO:0005634,BTO:0000140,94.9855766524
21586272,8600,GO:0005634,BTO:0000140,94.9855766524
21635706,8600,GO:0005634,BTO:0000140,94.9855766524
21643971,8600,GO:0005634,BTO:0000140,94.9855766524
21659611,8600,GO:0005634,BTO:0000140,94.9855766524
21668042,8600,GO:0005634,BTO:0000140,94.9855766524
21677475,8600,GO:0005634,BTO:0000140,94.9855766524
21683340,8600,GO:0005634,BTO:0000140,94.9855766524
21683712,8600,GO:0005634,BTO:0000140,94.9855766524
21683712,8600,GO:0005634,BTO:0000140,94.9855766524
21742767,8600,GO:0005634,BTO:0000140,94.9855766524
21784849,8600,GO:0005634,BTO:0000140,94.9855766524
21784849,8600,GO:0005634,BTO:0000140,94.9855766524
21840657,8600,GO:0005634,BTO:0000140,94.9855766524
21850283,8600,GO:0005634,BTO:0000140,94.9855766524
21852390,8600,GO:0005634,BTO:0000140,94.9855766524
21870142,8600,GO:0005634,BTO:0000140,94.9855766524
21871606,8600,GO:0005634,BTO:0000140,94.9855766524
21883630,8600,GO:0005634,BTO:0000140,94.9855766524
21925926,8600,GO:0005634,BTO:0000140,94.9855766524
21931340,8600,GO:0005634,BTO:0000140,94.9855766524
21933620,8600,GO:0005634,BTO:0000140,94.9855766524
21946081,8600,GO:0005634,BTO:0000140,94.9855766524
21959292,8600,GO:0005634,BTO:0000140,94.9855766524
21984295,8600,GO:0005634,BTO:0000140,94.9855766524
22001292,8600,GO:0005634,BTO:0000140,94.9855766524
22023901,8600,GO:0005634,BTO:0000140,94.9855766524
22031096,8600,GO:0005634,BTO:0000140,94.9855766524
22032557,8600,GO:0005634,BTO:0000140,94.9855766524
22049226,8600,GO:0005634,BTO:0000140,94.9855766524
22057136,8600,GO:0005634,BTO:0000140,94.9855766524
22072013,8600,GO:0005634,BTO:0000140,94.9855766524
22092653,8600,GO:0005634,BTO:0000140,94.9855766524
22100799,8600,GO:0005634,BTO:0000140,94.9855766524
22113597,8600,GO:0005634,BTO:0000140,94.9855766524
22125315,8600,GO:0005634,BTO:0000140,94.9855766524
22178057,8600,GO:0005634,BTO:0000140,94.9855766524
22231759,8600,GO:0005634,BTO:0000140,94.9855766524
