protein,tissue,scl,score
4085,BTO:0000567,GO:0005856,5.73338984398
54205,BTO:0000793,GO:0005739,5.73223051339
2099,BTO:0000093,GO:0031982,5.72895976708
949,BTO:0000195,GO:0005886,5.7288328075
6790,BTO:0000567,GO:0005856,5.68988513387
1440,BTO:0002136,GO:0031982,5.67394076691
596,BTO:0000093,GO:0005634,5.67334012695
142,BTO:0000567,GO:0005739,5.65936943742
7157,BTO:0002210,GO:0005634,5.65180842457
3292,BTO:0000093,GO:0005829,5.60098949362
6514,BTO:0000195,GO:0005886,5.59498786246
5335,BTO:0000017,GO:0005829,5.56852927567
8714,BTO:0000007,GO:0031982,5.50301958402
9075,BTO:0000195,GO:0030054,5.49955960738
5888,BTO:0000567,GO:0005634,5.48681335658
2100,BTO:0000093,GO:0005634,5.48538272265
2852,BTO:0000007,GO:0005886,5.48146421339
6667,BTO:0000567,GO:0005634,5.47499474049
3172,BTO:0000599,GO:0005634,5.45714618025
7514,BTO:0000567,GO:0005634,5.45360789124
4780,BTO:0000552,GO:0005634,5.45095651826
4363,BTO:0000567,GO:0031982,5.40397301919
5371,BTO:0001938,GO:0005634,5.38792876858
57332,BTO:0001061,GO:0005829,5.38444334821
1026,BTO:0000093,GO:0005634,5.31789615551
7157,BTO:0000793,GO:0005634,5.28619312838
5728,BTO:0000093,GO:0005634,5.27328992599
3309,BTO:0000007,GO:0005783,5.24032768031
6817,BTO:0000093,GO:0005829,5.2302873076
1803,BTO:0000195,GO:0005886,5.18962988173
5962,BTO:0000195,GO:0005886,5.13980080659
8647,BTO:0000007,GO:0031982,5.1388564743
3162,BTO:0000793,GO:0005634,5.13707786909
3576,BTO:0000195,GO:0005634,5.13151539304
6476,BTO:0000195,GO:0031982,5.11182615879
999,BTO:0000093,GO:0030054,5.11045795788
8714,BTO:0000195,GO:0005886,5.10463489142
2705,BTO:0000567,GO:0030054,5.08958208707
999,BTO:0000195,GO:0030054,5.07183093539
351,BTO:0000793,GO:0005886,5.06498325349
6606,BTO:0000567,GO:0005634,5.05127312331
5914,BTO:0000093,GO:0005634,5.05066784715
6046,BTO:0001061,GO:0005829,5.02383506285
1825,BTO:0000017,GO:0030054,5.01272947439
5467,BTO:0000552,GO:0031982,5.00658402877
2707,BTO:0000567,GO:0030054,4.97005042758
4363,BTO:0000195,GO:0005886,4.94684401625
3308,BTO:0000599,GO:0031982,4.94478654057
3183,BTO:0000567,GO:0005634,4.92669836392
596,BTO:0001061,GO:0005739,4.91883704688
1026,BTO:0000093,GO:0005856,4.91076353672
284424,BTO:0000599,GO:0005634,4.88876303606
26871,BTO:0000567,GO:0005634,4.88770037488
8411,BTO:0000567,GO:0031982,4.87088636227
2908,BTO:0000567,GO:0005634,4.86608369265
54205,BTO:0000018,GO:0005829,4.85963641916
2064,BTO:0000093,GO:0005634,4.83542435825
7157,BTO:0000093,GO:0005739,4.81898699178
7124,BTO:0000567,GO:0005634,4.81088116829
196,BTO:0000599,GO:0005634,4.79523820008
5111,BTO:0000567,GO:0005634,4.79481385241
644914,BTO:0000093,GO:0005634,4.78722425784
2010,BTO:0000567,GO:0005634,4.7818520231
3383,BTO:0000018,GO:0005634,4.76657122533
3309,BTO:0000093,GO:0005783,4.75851211577
23299,BTO:0000567,GO:0005794,4.74698557179
5347,BTO:0000567,GO:0005856,4.74338519247
9429,BTO:0000195,GO:0005886,4.74012602504
6532,BTO:0000007,GO:0005886,4.73818808271
50807,BTO:0000944,GO:0005856,4.72823894371
5595,BTO:0000018,GO:0005634,4.7233822621
57369,BTO:0000567,GO:0030054,4.7102508874
5747,BTO:0000552,GO:0005925,4.70820912156
79983,BTO:0000552,GO:0030054,4.69555861027
4000,BTO:0000567,GO:0005634,4.68551092101
1649,BTO:0000018,GO:0005783,4.67981863735
5122,BTO:0001061,GO:0005783,4.67496504497
5317,BTO:0000017,GO:0030054,4.63382765595
2353,BTO:0000093,GO:0005634,4.6257044516
6256,BTO:0000093,GO:0005634,4.61589747456
4790,BTO:0001061,GO:0005634,4.60549221394
7124,BTO:0000195,GO:0005886,4.60307555231
3932,BTO:0000944,GO:0005886,4.60063283422
4790,BTO:0000599,GO:0005634,4.5960934399
10891,BTO:0000599,GO:0031982,4.59209644578
207,BTO:0000018,GO:0005634,4.58146883513
2697,BTO:0000567,GO:0005886,4.57586381248
3162,BTO:0000018,GO:0005634,4.56495476005
468,BTO:0000018,GO:0005783,4.56447218828
9131,BTO:0000093,GO:0005634,4.56110903351
3916,BTO:0000567,GO:0031982,4.56015976914
142,BTO:0000599,GO:0005739,4.55438430286
4790,BTO:0000093,GO:0005634,4.55340324907
6143,BTO:0000093,GO:0005783,4.53791546281
7430,BTO:0000195,GO:0005886,4.53540850336
9644,BTO:0000944,GO:0005856,4.5061868049
206358,BTO:0000195,GO:0005886,4.48688863532
11035,BTO:0000944,GO:0005737,4.48532140876
841,BTO:0001061,GO:0005739,4.4829525915
1950,BTO:0000017,GO:0005856,4.47452457865
836,BTO:0000599,GO:0005634,4.46537229
7222,BTO:0000007,GO:0005886,4.45446823989
4790,BTO:0000793,GO:0005634,4.45401283777
58484,BTO:0000552,GO:0005737,4.45081358442
207,BTO:0000599,GO:0005634,4.37778154624
1027,BTO:0000093,GO:0005856,4.37304504416
207,BTO:0001061,GO:0005634,4.37159599998
2902,BTO:0000007,GO:0005886,4.352802702
1509,BTO:0000599,GO:0031982,4.34980877581
5027,BTO:0000007,GO:0005886,4.34316077784
1576,BTO:0000599,GO:0005634,4.3400590267
7013,BTO:0001938,GO:0005634,4.31454926786
5873,BTO:0000018,GO:0031982,4.28741082419
11309,BTO:0000195,GO:0005886,4.28473539145
3853,BTO:0001061,GO:0005634,4.27585336912
4988,BTO:0000007,GO:0005886,4.27243918474
4790,BTO:0000195,GO:0005634,4.26731217814
142,BTO:0000017,GO:0005739,4.25859651732
1111,BTO:0001938,GO:0005856,4.24119483526
4792,BTO:0000567,GO:0005634,4.23994906976
5243,BTO:0000093,GO:0005886,4.23452005892
57819,BTO:0000567,GO:0005634,4.20327827519
335,BTO:0000599,GO:0031982,4.20198754658
5347,BTO:0001938,GO:0005856,4.19467715034
1742,BTO:0000007,GO:0005886,4.19224693522
581,BTO:0000793,GO:0005739,4.18992179544
283871,BTO:0000007,GO:0031982,4.18831689243
22937,BTO:0000599,GO:0005794,4.18106859986
28234,BTO:0000007,GO:0031982,4.17998447305
857,BTO:0000007,GO:0005886,4.1788598282
6948,BTO:0000195,GO:0005886,4.1691575425
10599,BTO:0000007,GO:0031982,4.16716576707
2694,BTO:0000195,GO:0005886,4.16193787097
79727,BTO:0000007,GO:0031982,4.15317579345
920,BTO:0000567,GO:0005783,4.13479029229
23435,BTO:0002035,GO:0031982,4.10525307464
140803,BTO:0000007,GO:0005886,4.07999620792
5169,BTO:0000195,GO:0005886,4.06542631454
54822,BTO:0000007,GO:0005886,4.06301583477
207,BTO:0000093,GO:0005634,4.06274547336
5122,BTO:0001061,GO:0005886,4.05630873609
6720,BTO:0000599,GO:0005634,4.05535748287
3553,BTO:0000018,GO:0005634,4.05017920809
6786,BTO:0000007,GO:0005886,4.03743277332
4124,BTO:0000007,GO:0005794,4.03697204906
5451,BTO:0000567,GO:0005634,4.03265205259
3725,BTO:0000599,GO:0005634,4.01817734195
